Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2020-11-20,0.1059954915,0.1066086506,0.1081823789,0.1044091932
ADA,2020-11-21,0.1140360381,0.1059981953,0.1150942491,0.1055844553
ADA,2020-11-22,0.1280921983,0.1183677932,0.1313385086,0.1162078601
ADA,2020-11-23,0.1485955289,0.1331593855,0.1533820863,0.1198868003
ADA,2020-11-24,0.1542489559,0.1457681029,0.1571437654,0.1419282183
ADA,2020-11-25,0.1637075742,0.1544418092,0.182997697,0.1511514797
ADA,2020-11-26,0.155417185,0.1671881761,0.1757223933,0.1549532773
ADA,2020-11-27,0.1378776464,0.1550699739,0.1608143729,0.1200144092
ADA,2020-11-28,0.1373157736,0.1388450177,0.1457427333,0.1310655553
ADA,2020-11-29,0.1645499705,0.1419248259,0.1724072569,0.1396804828
ADA,2020-11-30,0.1646189887,0.1651159838,0.1715114485,0.1574069649
ADA,2020-12-01,0.1682849751,0.1666277525,0.1740478717,0.1603323973
ADA,2020-12-02,0.156971344,0.1719424262,0.1742789732,0.1426938151
ADA,2020-12-03,0.1570479247,0.1558635036,0.1599608993,0.1509688041
ADA,2020-12-04,0.1647137992,0.1585830411,0.1684672029,0.1555881196
ADA,2020-12-05,0.1500475325,0.1641469907,0.1647608817,0.1500475325
ADA,2020-12-06,0.1582754112,0.1479412815,0.1619733,0.1462154072
ADA,2020-12-07,0.1574007655,0.1599968695,0.1626254047,0.1538950146
ADA,2020-12-08,0.1539352278,0.1588219708,0.1591364619,0.1516723526
ADA,2020-12-09,0.1438110852,0.1540839143,0.1551347996,0.1430219874
ADA,2020-12-10,0.1481360038,0.1411045345,0.150156531,0.1299024959
ADA,2020-12-11,0.142911379,0.1481292211,0.1487088846,0.1392583915
ADA,2020-12-12,0.141598387,0.1419361098,0.142926704,0.1347970384
ADA,2020-12-13,0.145673478,0.1392547484,0.1473788805,0.1387817466
ADA,2020-12-14,0.1532221396,0.1444534882,0.1566810793,0.1430528285
ADA,2020-12-15,0.157246498,0.1539233167,0.157246498,0.1494624068
ADA,2020-12-16,0.154936248,0.158658251,0.1599533354,0.1528480505
ADA,2020-12-17,0.1667565587,0.1538762984,0.1671472112,0.1492260622
ADA,2020-12-18,0.1644302758,0.1682687894,0.1761907757,0.1606591552
ADA,2020-12-19,0.1642564883,0.1634678362,0.1692741752,0.15845071
ADA,2020-12-20,0.1673257455,0.1651465585,0.170844583,0.1630313596
ADA,2020-12-21,0.1610894768,0.1643550807,0.168878092,0.1565561312
ADA,2020-12-22,0.1544382234,0.1620708032,0.1661097443,0.1470141867
ADA,2020-12-23,0.1543161557,0.1528527572,0.1605788969,0.148976251
ADA,2020-12-24,0.1394373948,0.1563237632,0.1576685793,0.1264889603
ADA,2020-12-25,0.1537344456,0.1363867163,0.153787918,0.1320507192
ADA,2020-12-26,0.1575754317,0.1530285008,0.1670425223,0.1501906331
ADA,2020-12-27,0.1575774315,0.1576007081,0.16196939,0.14890949
ADA,2020-12-28,0.1534232856,0.1580815181,0.165864125,0.1491505219
ADA,2020-12-29,0.1741239497,0.1543524892,0.1800456004,0.1524569818
ADA,2020-12-30,0.1858912413,0.1760999785,0.1968319193,0.1730189355
ADA,2020-12-31,0.1839880447,0.1904931367,0.1934922889,0.1752275916
ADA,2021-01-01,0.1801711262,0.1839107261,0.1863677416,0.1751614797
ADA,2021-01-02,0.1751711506,0.1813473038,0.1846010173,0.1701824127
ADA,2021-01-03,0.1784157396,0.1752761969,0.1840452804,0.1684010782
ADA,2021-01-04,0.1977394456,0.1768119138,0.2005206739,0.1716358961
ADA,2021-01-05,0.2141138067,0.2044356496,0.2375554803,0.1920461498
ADA,2021-01-06,0.2643072811,0.2251942633,0.264678899,0.2071221064
ADA,2021-01-07,0.3258528001,0.2591736788,0.3302069497,0.2540415233
ADA,2021-01-08,0.3027557542,0.3332963607,0.3553371601,0.2893037061
